合约代码,更新时间,最新价,成交量,买价一,买量一,卖价一,卖量一,持仓量,换手率
TF1706,10:20:54.0,98.37,2272,98.37,2,98.375,13,21692,2.23487e+09
TF1706,10:21:01.0,98.37,2272,98.37,2,98.375,13,21692,2.23487e+09
TF1706,10:21:11.0,98.37,2272,98.37,1,98.375,13,21692,2.23487e+09
TF1706,10:21:12.500,98.37,2272,98.37,2,98.375,13,21692,2.23487e+09
TF1706,10:21:13.500,98.37,2272,98.37,3,98.375,13,21692,2.23487e+09
TF1706,10:21:14.500,98.37,2272,98.37,4,98.375,13,21692,2.23487e+09
TF1706,10:21:27.0,98.37,2272,98.37,4,98.375,12,21692,2.23487e+09
TF1706,10:21:29.0,98.37,2272,98.37,4,98.375,13,21692,2.23487e+09
TF1706,10:21:29.500,98.37,2272,98.37,3,98.375,12,21692,2.23487e+09
TF1706,10:21:34.500,98.37,2272,98.37,3,98.375,12,21692,2.23487e+09
TF1706,10:21:37.500,98.37,2274,98.37,1,98.375,12,21691,2.23684e+09
TF1706,10:21:39.0,98.37,2274,98.365,10,98.375,12,21691,2.23684e+09
TF1706,10:21:39.500,98.37,2274,98.365,11,98.375,12,21691,2.23684e+09
TF1706,10:21:43.500,98.37,2274,98.37,1,98.375,12,21691,2.23684e+09
TF1706,10:21:44.0,98.37,2274,98.37,1,98.375,12,21691,2.23684e+09
TF1706,10:21:56.0,98.37,2274,98.37,1,98.375,12,21691,2.23684e+09
TF1706,10:21:58.0,98.37,2274,98.365,10,98.375,12,21691,2.23684e+09
TF1706,10:21:58.500,98.37,2274,98.365,9,98.375,12,21691,2.23684e+09
TF1706,10:21:59.0,98.37,2274,98.365,9,98.37,1,21691,2.23684e+09
TF1706,10:21:59.500,98.37,2275,98.365,9,98.375,12,21692,2.23782e+09
TF1706,10:22:00.0,98.37,2275,98.365,9,98.375,12,21692,2.23782e+09
TF1706,10:22:00.500,98.37,2275,98.365,9,98.375,12,21692,2.23782e+09
TF1706,10:22:01.0,98.375,2276,98.365,9,98.375,11,21692,2.23881e+09
TF1706,10:22:01.500,98.375,2276,98.365,9,98.375,12,21692,2.23881e+09
TF1706,10:22:06.500,98.375,2277,98.37,1,98.375,11,21692,2.23979e+09
TF1706,10:22:07.0,98.375,2277,98.37,8,98.375,12,21692,2.23979e+09
TF1706,10:22:07.500,98.375,2279,98.37,8,98.375,10,21692,2.24176e+09
TF1706,10:22:08.0,98.375,2279,98.37,9,98.375,10,21692,2.24176e+09
TF1706,10:22:11.500,98.375,2279,98.37,10,98.375,10,21692,2.24176e+09
TF1706,10:22:12.0,98.375,2279,98.37,10,98.375,9,21692,2.24176e+09
TF1706,10:22:21.0,98.375,2288,98.375,2,98.38,22,21700,2.25061e+09
TF1706,10:22:21.500,98.375,2288,98.375,2,98.38,22,21700,2.25061e+09
TF1706,10:22:22.0,98.375,2288,98.375,3,98.38,22,21700,2.25061e+09
TF1706,10:22:22.500,98.38,2294,98.375,5,98.38,15,21704,2.25652e+09
TF1706,10:22:23.0,98.38,2295,98.375,5,98.38,14,21705,2.2575e+09
TF1706,10:22:23.500,98.38,2295,98.375,5,98.38,14,21705,2.2575e+09
TF1706,10:22:24.0,98.38,2297,98.375,6,98.38,12,21707,2.25947e+09
TF1706,10:22:24.500,98.38,2299,98.375,6,98.38,10,21707,2.26144e+09
TF1706,10:22:25.0,98.38,2301,98.375,6,98.38,7,21709,2.2634e+09
TF1706,10:22:25.500,98.385,2315,98.385,2,98.39,3,21714,2.27718e+09
TF1706,10:22:26.0,98.385,2319,98.38,11,98.385,1,21715,2.28111e+09
TF1706,10:22:26.500,98.385,2319,98.385,1,98.39,3,21715,2.28111e+09
TF1706,10:22:27.0,98.385,2320,98.38,10,98.39,3,21716,2.2821e+09
TF1706,10:22:27.500,98.385,2320,98.385,3,98.39,3,21716,2.2821e+09
TF1706,10:22:28.0,98.385,2320,98.385,2,98.39,3,21716,2.2821e+09
TF1706,10:22:28.500,98.39,2323,98.39,1,98.395,3,21717,2.28505e+09
TF1706,10:22:29.0,98.39,2324,98.385,3,98.395,3,21718,2.28603e+09
TF1706,10:22:29.500,98.39,2324,98.385,2,98.395,3,21718,2.28603e+09
TF1706,10:22:30.0,98.39,2324,98.39,2,98.395,3,21718,2.28603e+09
TF1706,10:22:30.500,98.39,2324,98.39,1,98.395,3,21718,2.28603e+09
TF1706,10:22:31.0,98.39,2324,98.39,1,98.395,3,21718,2.28603e+09
TF1706,10:22:31.500,98.39,2325,98.385,3,98.39,3,21718,2.28702e+09
TF1706,10:22:32.0,98.39,2326,98.39,3,98.395,3,21717,2.288e+09
TF1706,10:22:32.500,98.39,2326,98.39,4,98.395,3,21717,2.288e+09
TF1706,10:22:33.500,98.39,2326,98.39,5,98.395,2,21717,2.288e+09
TF1706,10:22:34.0,98.39,2326,98.39,5,98.395,2,21717,2.288e+09
TF1706,10:22:36.0,98.39,2326,98.39,3,98.395,2,21717,2.288e+09
TF1706,10:22:36.500,98.39,2329,98.385,5,98.39,2,21716,2.29095e+09
TF1706,10:22:37.0,98.39,2329,98.385,5,98.39,2,21716,2.29095e+09
TF1706,10:22:39.0,98.39,2329,98.385,1,98.39,2,21716,2.29095e+09
TF1706,10:22:41.0,98.39,2329,98.385,1,98.39,3,21716,2.29095e+09
TF1706,10:22:42.0,98.39,2332,98.385,5,98.395,3,21717,2.2939e+09
TF1706,10:22:42.500,98.395,2334,98.39,2,98.395,1,21718,2.29587e+09
TF1706,10:22:43.0,98.395,2334,98.39,2,98.395,2,21718,2.29587e+09
TF1706,10:22:43.500,98.395,2334,98.39,3,98.395,3,21718,2.29587e+09
TF1706,10:22:44.500,98.395,2334,98.39,3,98.395,5,21718,2.29587e+09
TF1706,10:22:45.0,98.395,2334,98.39,3,98.395,5,21718,2.29587e+09
TF1706,10:22:45.500,98.395,2334,98.39,1,98.395,5,21718,2.29587e+09
TF1706,10:22:49.0,98.395,2334,98.39,1,98.395,5,21718,2.29587e+09
TF1706,10:22:49.500,98.39,2335,98.385,3,98.39,6,21718,2.29685e+09
TF1706,10:22:50.0,98.38,2339,98.375,5,98.385,13,21719,2.30079e+09
TF1706,10:22:50.500,98.38,2339,98.375,11,98.385,4,21719,2.30079e+09
TF1706,10:22:51.0,98.38,2339,98.38,5,98.385,3,21719,2.30079e+09
TF1706,10:22:51.500,98.38,2339,98.38,5,98.385,3,21719,2.30079e+09
TF1706,10:22:52.0,98.38,2339,98.38,5,98.39,3,21719,2.30079e+09
TF1706,10:22:52.500,98.38,2339,98.38,5,98.39,3,21719,2.30079e+09
TF1706,10:22:53.0,98.38,2339,98.38,5,98.39,4,21719,2.30079e+09
TF1706,10:22:53.500,98.38,2339,98.38,5,98.39,4,21719,2.30079e+09
TF1706,10:22:54.0,98.38,2339,98.38,5,98.39,4,21719,2.30079e+09
TF1706,10:22:55.500,98.38,2339,98.38,5,98.39,4,21719,2.30079e+09
TF1706,10:22:56.0,98.38,2339,98.38,5,98.39,4,21719,2.30079e+09
TF1706,10:22:56.500,98.38,2344,98.375,5,98.38,2,21718,2.30571e+09
TF1706,10:22:57.0,98.38,2346,98.38,1,98.385,1,21719,2.30768e+09
TF1706,10:22:57.500,98.38,2347,98.375,5,98.38,5,21719,2.30866e+09
TF1706,10:22:58.0,98.38,2347,98.375,5,98.38,1,21719,2.30866e+09
TF1706,10:22:58.500,98.38,2348,98.38,4,98.385,2,21719,2.30964e+09
TF1706,10:22:59.0,98.38,2348,98.38,1,98.385,2,21719,2.30964e+09
TF1706,10:23:00.500,98.38,2348,98.38,1,98.385,3,21719,2.30964e+09
TF1706,10:23:05.0,98.385,2349,98.38,1,98.385,1,21719,2.31063e+09
TF1706,10:23:05.500,98.385,2350,98.385,4,98.39,3,21718,2.31161e+09
TF1706,10:23:06.0,98.385,2350,98.38,3,98.39,3,21718,2.31161e+09
TF1706,10:23:07.0,98.385,2350,98.38,4,98.39,3,21718,2.31161e+09
TF1706,10:23:10.500,98.385,2350,98.385,1,98.39,3,21718,2.31161e+09
TF1706,10:23:11.0,98.385,2351,98.38,4,98.385,1,21718,2.3126e+09
TF1706,10:23:11.500,98.385,2351,98.38,4,98.385,1,21718,2.3126e+09
TF1706,10:23:13.500,98.385,2352,98.38,3,98.39,4,21719,2.31358e+09
TF1706,10:23:21.0,98.385,2352,98.385,1,98.39,4,21719,2.31358e+09
TF1706,10:23:21.500,98.385,2353,98.38,3,98.39,4,21719,2.31456e+09
